"REF_DATE","GEO","DGUID","Sector","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Canada","2016A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","757922","","","","0"
"2017","Canada","2016A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","772903","","","","0"
"2018","Canada","2016A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","788071","","","","0"
"2019","Canada","2016A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","781509","","","","0"
"2020","Canada","2016A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","700790","","","","0"
"2016","Canada","2016A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","627847","","","","0"
"2017","Canada","2016A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","637788","","","","0"
"2018","Canada","2016A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","647726","","","","0"
"2019","Canada","2016A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","643907","","","","0"
"2020","Canada","2016A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","578462","","","","0"
"2016","Canada","2016A000011124","Total, households","Kilotonnes","198","units","0","v79875109","1.115","130075","","","","0"
"2017","Canada","2016A000011124","Total, households","Kilotonnes","198","units","0","v79875109","1.115","135115","","","","0"
"2018","Canada","2016A000011124","Total, households","Kilotonnes","198","units","0","v79875109","1.115","140345","","","","0"
"2019","Canada","2016A000011124","Total, households","Kilotonnes","198","units","0","v79875109","1.115","137602","","","","0"
"2020","Canada","2016A000011124","Total, households","Kilotonnes","198","units","0","v79875109","1.115","122328","","","","0"
"2016","Canada","2016A000011124","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v79875112","1.118","715094","","","","0"
"2017","Canada","2016A000011124","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v79875112","1.118","725014","","","","0"
"2018","Canada","2016A000011124","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v79875112","1.118","740005","","","","0"
"2019","Canada","2016A000011124","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v79875112","1.118","738283","","","","0"
"2020","Canada","2016A000011124","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v79875112","1.118","672354","","","","0"
"2016","Canada","2016A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-42828","","","","0"
"2017","Canada","2016A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-47889","","","","0"
"2018","Canada","2016A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-48066","","","","0"
"2019","Canada","2016A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-43226","","","","0"
"2020","Canada","2016A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-28436","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","11206","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","10997","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","10704","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","10592","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","9041","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","8755","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","8262","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","7989","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","7924","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","6438","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","2451","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","2734","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","2715","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","2667","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","2603","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973417","2.118","11210","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973417","2.118","11125","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973417","2.118","10932","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973417","2.118","11138","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973417","2.118","9501","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973418","2.119","4","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973418","2.119","128","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973418","2.119","228","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973418","2.119","546","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973418","2.119","460","","","","0"
"2016","Prince Edward Island","2016A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1614","","","","0"
"2017","Prince Edward Island","2016A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1671","","","","0"
"2018","Prince Edward Island","2016A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1667","","","","0"
"2019","Prince Edward Island","2016A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1707","","","","0"
"2020","Prince Edward Island","2016A000211","Total, industries and households","Kilotonnes","198","units","0","v1013973427","3.1","1700","","","","0"
"2016","Prince Edward Island","2016A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","830","","","","0"
"2017","Prince Edward Island","2016A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","819","","","","0"
"2018","Prince Edward Island","2016A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","844","","","","0"
"2019","Prince Edward Island","2016A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","866","","","","0"
"2020","Prince Edward Island","2016A000211","Total, industries","Kilotonnes","198","units","0","v1013973428","3.2","914","","","","0"
"2016","Prince Edward Island","2016A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","784","","","","0"
"2017","Prince Edward Island","2016A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","851","","","","0"
"2018","Prince Edward Island","2016A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","822","","","","0"
"2019","Prince Edward Island","2016A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","841","","","","0"
"2020","Prince Edward Island","2016A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","786","","","","0"
"2016","Prince Edward Island","2016A000211","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973542","3.118","1607","","","","0"
"2017","Prince Edward Island","2016A000211","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973542","3.118","1634","","","","0"
"2018","Prince Edward Island","2016A000211","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973542","3.118","1617","","","","0"
"2019","Prince Edward Island","2016A000211","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973542","3.118","1661","","","","0"
"2020","Prince Edward Island","2016A000211","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973542","3.118","1610","","","","0"
"2016","Prince Edward Island","2016A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","-7","","","","0"
"2017","Prince Edward Island","2016A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","-37","","","","0"
"2018","Prince Edward Island","2016A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","-50","","","","0"
"2019","Prince Edward Island","2016A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","-45","","","","0"
